key, motion, time
h, hl1, 958
s, hl1, 853
o, vb1, 493
c, hl1, 947
c, vb2, 690
k, hr1, 1079
k, hl2, 669
h, hl1, 748
w, vt1, 1609
w, vb2, 823
i, vb1, 568
n, hr1, 732
n, hr1, 359
n, hr1, 681
r, vt1, 656
o, vb1, 490
f, vb1, 1074
f, vt2, 756
h, hl1, 973
r, vt1, 654
c, hl1, 1519
c, vb2, 866
s, hl1, 627
c, hl1, 1284
c, vb2, 800
u, dd1, 812
r, vt1, 1110
i, vb1, 495
y, hl1, 1000
y, hr2, 710
f, vb1, 1111
f, vt2, 801
o, vb1, 738
r, vt1, 518
c, hl1, 1130
c, vb2, 911
o, vb1, 548
f, vb1, 800
f, vt2, 776
i, vb1, 631
g, vb1, 870
g, hl2, 667
h, hl1, 816
h, hl1, 980
o, vb1, 462
u, dd1, 505
s, hl1, 573
n, hr1, 1091
d, da1, 1320
h, hl1, 694
i, vb1, 565
s, hl1, 719
s, hl1, 344
i, vb1, 467
l, dc1, 444
l, dc1, 442
o, vb1, 398
n, hr1, 790
n, hr1, 682
u, dd1, 725
r, vt1, 735
m, hr1, 765
m, vb2, 578
l, dc1, 594
c, hl1, 926
c, vb2, 829
r, vt1, 601
i, vb1, 625
c, hl1, 644
c, vb2, 800
c, hl1, 664
c, vb2, 644
r, vt1, 748
s, hl1, 534
n, hr1, 2144
n, hr1, 513
d, da1, 1284
b, hl1, 715
b, hr2, 740
i, vb1, 404
g, vb1, 956
g, hl2, 600
f, vb1, 596
f, vt2, 489
u, dd1, 512
l, dc1, 591
h, hl1, 813
c, hl1, 517
c, vb2, 624
l, dc1, 462
l, dc1, 418
s, hl1, 822
h, hl1, 533
i, vb1, 433
s, hl1, 469
s, hl1, 451
y, hl1, 745
y, hr2, 778
s, hl1, 582
m, hr1, 699
m, vb2, 668
o, vb1, 649
f, vb1, 489
f, vt2, 734
x, hl1, 912
x, vt2, 956
i, vb1, 443
o, vb1, 392
n, hr1, 771
m, hr1, 1104
m, vb2, 778
y, hl1, 679
y, hr2, 734
c, hl1, 1134
c, vb2, 822
r, vt1, 1194
l, dc1, 622
w, vt1, 971
w, vb2, 689
y, hl1, 495
y, hr2, 732
s, hl1, 693
h, hl1, 700
r, vt1, 495
b, hl1, 743
b, hr2, 622
r, vt1, 789
k, hr1, 921
k, hl2, 645
s, hl1, 715
i, vb1, 463
n, hr1, 782
h, hl1, 653
w, vt1, 784
w, vb2, 711
i, vb1, 516
n, hr1, 1528
r, vt1, 589
f, vb1, 878
f, vt2, 778
i, vb1, 543
q, vb1, 412
q, hr2, 111
l, dc1, 473
l, dc1, 437
h, hl1, 726
c, hl1, 675
c, vb2, 889
o, vb1, 615
m, hr1, 470
m, vb2, 823
p, vb1, 919
p, vt2, 801
l, dc1, 420
i, vb1, 434
n, hr1, 822
s, hl1, 792
i, vb1, 385
n, hr1, 986
w, vt1, 1580
w, vb2, 690
r, vt1, 1194
i, vb1, 482
i, vb1, 430
n, hr1, 597
g, vb1, 1024
g, hl2, 667
p, vb1, 703
p, vt2, 690
r, vt1, 908
o, vb1, 642
h, hl1, 684
c, hl1, 621
c, vb2, 887
y, hl1, 1117
y, hr2, 887
o, vb1, 538
u, dd1, 526
r, vt1, 611
n, hr1, 834
v, vt1, 3624
v, hl2, 647
i, vb1, 600
r, vt1, 524
o, vb1, 468
n, hr1, 440
m, hr1, 694
m, vb2, 889
n, hr1, 448
g, vb1, 1207
g, hl2, 622
o, vb1, 615
o, vb1, 403
d, da1, 939
s, hl1, 991
i, vb1, 481
m, hr1, 497
m, vb2, 489
u, dd1, 1133
l, dc1, 482
u, dd1, 687
s, hl1, 791
d, da1, 947
d, da1, 1195
s, hl1, 837
r, vt1, 430
v, vt1, 591
v, hl2, 734
s, hl1, 872
g, vb1, 1027
g, hl2, 667
o, vb1, 463
o, vb1, 452
d, da1, 1135
r, vt1, 960
s, hl1, 803
p, vb1, 698
p, vt2, 667
o, vb1, 467
n, hr1, 528
s, hl1, 783
p, vb1, 828
p, vt2, 732
l, dc1, 467
y, hl1, 1010
y, hr2, 733
r, vt1, 1850
s, hl1, 735
m, hr1, 580
m, vb2, 689
s, hl1, 963
k, hr1, 1011
k, hl2, 665
n, hr1, 417
o, vb1, 466
w, vt1, 1190
w, vb2, 792
l, dc1, 580
l, dc1, 484
h, hl1, 770
r, vt1, 1798
u, dd1, 962
l, dc1, 482
s, hl1, 1261
h, hl1, 615
p, vb1, 798
p, vt2, 823
l, dc1, 376
u, dd1, 680
i, vb1, 1332
g, vb1, 494
g, hl2, 911
d, da1, 1102
o, vb1, 498
s, hl1, 756
n, hr1, 466
o, vb1, 456
f, vb1, 613
f, vt2, 555
i, vb1, 545
h, hl1, 666
s, hl1, 1159
o, vb1, 599
c, hl1, 786
c, vb2, 845
k, hr1, 1030
k, hl2, 711
m, hr1, 897
m, vb2, 577
y, hl1, 573
y, hr2, 978
f, vb1, 946
f, vt2, 1289
v, vt1, 3504
v, hl2, 845
o, vb1, 442
u, dd1, 646
r, vt1, 1244
i, vb1, 476
s, hl1, 821
p, vb1, 608
p, vt2, 800
o, vb1, 389
r, vt1, 971
s, hl1, 748
i, vb1, 717
s, hl1, 709
r, vt1, 1311
c, hl1, 1100
c, vb2, 1330
k, hr1, 942
k, hl2, 711
b, hl1, 655
b, hr2, 667
l, dc1, 602
l, dc1, 477
w, vt1, 958
w, vb2, 711
h, hl1, 557
r, vt1, 941
d, da1, 815
i, vb1, 474
d, da1, 490
y, hl1, 732
y, hr2, 907
o, vb1, 523
u, dd1, 647
g, vb1, 1451
g, hl2, 733
h, hl1, 620
i, vb1, 448
l, dc1, 523
i, vb1, 473
d, da1, 987
c, hl1, 685
c, vb2, 733
o, vb1, 384
r, vt1, 1278
s, hl1, 705
s, hl1, 561
n, hr1, 560
v, vt1, 1139
v, hl2, 822
r, vt1, 1373
w, vt1, 806
w, vb2, 533
o, vb1, 514
r, vt1, 1061
k, hr1, 1015
k, hl2, 601
n, hr1, 1013
x, hl1, 894
x, vt2, 844
c, hl1, 776
c, vb2, 889
l, dc1, 481
l, dc1, 493
n, hr1, 676
w, vt1, 952
w, vb2, 687
y, hl1, 730
y, hr2, 867
o, vb1, 482
c, hl1, 1156
c, vb2, 798
o, vb1, 782
i, vb1, 1400
m, hr1, 668
m, vb2, 602
m, hr1, 316
m, vb2, 466
u, dd1, 810
n, hr1, 706
i, vb1, 419
c, hl1, 727
c, vb2, 689
h, hl1, 1206
i, vb1, 1140
s, hl1, 1330
v, vt1, 1269
v, hl2, 845
r, vt1, 1017
y, hl1, 1067
y, hr2, 779
n, hr1, 970
s, hl1, 1102
y, hl1, 1445
y, hr2, 912
c, hl1, 950
c, vb2, 979
u, dd1, 1367
r, vt1, 1160
o, vb1, 888
u, dd1, 1681
n, hr1, 1400
d, da1, 2046
r, vt1, 1126
o, vb1, 850
b, hl1, 958
b, hr2, 712
i, vb1, 835
n, hr1, 1176
s, hl1, 1685
c, hl1, 1157
c, vb2, 1090
h, hl1, 921
d, da1, 1747
u, dd1, 1646
l, dc1, 1583
i, vb1, 1238
n, hr1, 1338
g, vb1, 1672
g, hl2, 913
h, hl1, 1646
m, hr1, 868
m, vb2, 821
i, vb1, 1513
n, hr1, 1011
i, vb1, 880
m, hr1, 852
m, vb2, 801
u, dd1, 1267
m, hr1, 795
m, vb2, 557
m, hr1, 879
m, vb2, 734
o, vb1, 897
u, dd1, 1128
n, hr1, 473
o, vb1, 905
f, vb1, 815
f, vt2, 910
i, vb1, 960
m, hr1, 931
m, vb2, 378
h, hl1, 1033
d, da1, 1564
r, vt1, 1668
i, vb1, 1041
n, hr1, 1387
g, vb1, 2099
g, hl2, 867
y, hl1, 998
y, hr2, 776
o, vb1, 1073
u, dd1, 1343
n, hr1, 1022
g, vb1, 1442
g, hl2, 801
m, hr1, 906
m, vb2, 511
n, hr1, 674
h, hl1, 1746
l, dc1, 1120
s, hl1, 1635
r, vt1, 1029
p, vb1, 770
p, vt2, 1580
r, vt1, 1087
i, vb1, 1466
n, hr1, 1055
r, vt1, 589
i, vb1, 919
s, hl1, 1368
j, da1, 3034
j, hr2, 845
m, hr1, 990
m, vb2, 934
m, hr1, 694
m, vb2, 578
d, da1, 1515
