layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
1,6.588819988109231,0.19607843137254902,0.0,41,2,2,0,8,for murder you get a long prison sentence,for murder you get a long prison sentence,"[0.000031,f],[1.667480,o],[3.718567,r],[4.445190, ],[6.163544,m],[9.134033,cancel],[10.215271,u],[11.247284,r],[13.105316,d],[14.062469,e],[15.168884,r],[15.760345, ],[17.652466,y],[19.354004,cancel],[20.468170,o],[22.986694,u],[23.345154, ],[26.469421,g],[27.336273,e],[27.976807,t],[28.510925, ],[29.125336,a],[29.632660, ],[32.071899,l],[33.692688,cancel],[34.374817,o],[35.974823,n],[38.531860,g],[39.006073, ],[42.028992,p],[43.236816,r],[44.854797,i],[46.330933,s],[47.804993,cancel],[49.419586,o],[51.836609,n],[52.342682, ],[54.920258,s],[55.498047,a],[56.645935,del],[57.065674,e],[59.262177,cancel],[60.631012,cancel],[61.822357,n],[62.471863,t],[63.082581,e],[64.511261,cancel],[65.571930,cancel],[66.274353,n],[68.930969,c],[69.316406,e],[70.101501, ],[72.850677,del],[76.574341,done]"
1,4.82454380652558,0.23076923076923078,0.02564102564102564,29,7,7,1,2,shall we play a round of cards,shall we play around of cards,"[0.000031,s],[2.471100,h],[3.093414,a],[4.716492,l],[5.472321,l],[6.034393, ],[9.372467,w],[10.082855,e],[10.592926, ],[11.844727,cancel],[13.588531,p],[15.329102,l],[15.863617,a],[17.496307,y],[18.505341, ],[19.066620,a],[20.906494,r],[22.564667,o],[25.036713,u],[27.332306,n],[29.092316,d],[29.445190, ],[31.108124,o],[33.125031,f],[33.437836, ],[35.860504,c],[36.083740,a],[38.628357,r],[40.917999,d],[43.945221,u],[44.979523,del],[46.953491,cancel],[48.049500,s],[53.070190,del],[53.495026,del],[53.803436,del],[54.115143,del],[54.391846,del],[58.755249,i],[60.610382,del],[62.433167,c],[62.807922,a],[65.131958,r],[66.545868,d],[69.643890,s],[70.900879,done]"
1,6.7880712963465575,0.046511627906976744,0.8604651162790697,4,0,0,37,2,knee bone is connected to the thigh bone,aknee,"[0.000031,cancel],[0.808533,a],[1.005157,cancel],[3.449036,k],[5.741028,n],[6.431061,e],[7.071228,e],[8.083710,done]"
1,6.397288957454258,0.15151515151515152,0.0,28,3,3,0,2,i am going to a music lesson,i am going to a music lesson,"[0.000000,del],[0.280121, ],[2.367920,del],[3.455811,del],[5.993835,i],[7.001678, ],[7.586578,a],[9.851929,m],[10.528809, ],[13.523560,g],[15.617828,o],[17.746613,i],[19.542725,n],[21.063629,g],[21.533051, ],[23.196106,t],[25.432129,o],[25.955994, ],[26.581146,a],[27.140381, ],[29.039307,m],[32.100037,u],[34.763672,s],[36.493378,i],[37.928986,c],[38.379700, ],[40.410278,l],[41.203339,e],[43.871490,cancel],[44.775452,s],[45.977448,s],[48.004852,o],[49.182709,cancel],[50.646454,n],[51.949127,done]"
1,9.124464021834207,0.07692307692307693,0.0,24,2,2,0,0,that is a very nasty cut,that is a very nasty cut,"[0.000000,t],[2.031616,h],[2.603149,a],[3.788452,t],[4.436462, ],[5.583221,d],[6.455841,del],[7.443878,i],[8.769318,s],[9.311310, ],[9.958038,a],[10.821198, ],[13.110107,v],[13.883545,e],[15.913025,r],[17.447357,y],[17.785980, ],[19.091370,n],[19.495819,a],[21.288055,s],[21.821503,t],[23.317139,y],[23.628143, ],[25.313416,c],[27.265198,u],[27.981964,t],[29.092407,del],[30.248352,t],[31.484161,done]"
1,7.635458223458802,0.13513513513513514,0.0,32,3,3,0,2,interesting observation was made,interesting observation was made,"[0.000031,i],[1.650421,n],[2.296906,t],[3.241547,e],[4.966431,r],[5.480774,e],[6.754211,s],[7.421539, ],[8.650513,del],[9.202179,e],[10.343597,del],[10.672516,t],[11.983826,i],[13.168579,n],[15.544312,g],[16.022217, ],[18.137115,o],[20.505432,b],[22.118805,s],[22.934784,e],[24.264435,r],[27.057343,v],[28.145325,a],[28.728119,t],[30.137451,i],[31.892334,o],[33.230255,n],[33.814423, ],[36.074127,w],[36.621918,a],[39.511993,cancel],[41.372223,cancel],[42.402191,s],[42.934082, ],[44.391907,m],[44.748749,a],[46.439819,d],[47.013947,e],[47.656342, ],[48.720062,del],[50.096100,done]"
1,6.672092760831105,0.19148936170212766,0.0,38,1,1,0,8,dormitory doors are locked at midnight,dormitory doors are locked at midnight,"[0.000000,d],[2.178772,o],[4.153809,r],[5.812469,m],[7.325256,i],[8.588348,t],[11.178192,o],[13.282898,cancel],[13.985016,r],[16.035370,y],[16.556671, ],[17.804443,d],[18.892456,cancel],[20.222839,cancel],[21.496033,o],[22.334747,o],[24.750519,m],[27.081268,cancel],[28.490601,cancel],[29.815552,cancel],[30.837921,del],[32.431305,cancel],[33.735168,r],[35.970093,s],[36.387390, ],[37.084839,a],[38.446960,r],[38.924011,e],[39.586761, ],[41.630035,l],[42.944153,o],[44.841766,c],[47.022736,k],[48.061005,e],[49.612823,d],[50.100800, ],[50.720978,a],[51.241425,t],[51.773102, ],[53.121246,m],[54.074615,i],[56.073761,cancel],[56.917267,d],[58.208038,n],[58.816101,i],[62.447601,g],[65.898712,h],[66.545837,t],[67.954102,done]"
1,6.82430622961931,0.15625,0.0,27,0,0,0,5,this library has many books,this library has many books,"[0.000031,t],[1.468994,h],[2.616394,i],[4.084564,cancel],[5.380005,cancel],[6.473145,s],[7.923096, ],[10.249664,l],[11.897156,i],[13.529724,b],[15.401459,r],[16.002930,a],[16.864319,r],[19.292023,cancel],[20.460602,y],[21.067261, ],[23.396881,h],[24.048370,a],[26.481873,s],[27.455017, ],[28.760681,m],[29.093872,a],[31.090027,cancel],[31.995056,n],[33.387299,y],[33.942169, ],[36.490631,b],[37.753845,o],[38.646149,o],[41.459991,k],[44.359589,cancel],[45.718933,s],[48.258545,done]"
1,7.149242203412533,0.2222222222222222,0.0,28,6,6,0,2,you must make an appointment,you must make an appointment,"[0.000000,cancel],[1.587677,y],[3.459656,o],[6.053070,u],[6.652649, ],[7.775696,m],[9.814545,u],[10.745056,s],[11.406738,t],[12.015350, ],[12.362885, ],[13.327271,del],[14.582428,m],[14.996552,a],[17.373260,k],[17.851074,e],[18.529358, ],[19.102448,a],[20.293671,n],[20.848145, ],[21.384216,a],[23.707642,p],[25.701477,p],[26.463043,o],[27.602966,i],[29.295837,n],[30.126984,t],[31.061310,e],[32.138458,m],[32.715912,e],[33.585236,n],[34.237244,t],[37.796234,del],[38.404236,del],[39.001495,del],[39.619354,del],[40.287048,del],[41.395233,m],[42.129578,e],[43.504364,cancel],[44.786865,n],[45.319489,t],[46.779602,done]"
1,9.42045026586246,0.07142857142857142,0.0,26,0,0,0,2,the four seasons will come,the four seasons will come,"[0.000031,t],[1.200165,cancel],[3.313660,h],[3.608368,e],[4.202789, ],[6.445374,f],[8.044067,o],[10.509003,u],[11.175964,r],[11.704071, ],[12.714722,s],[13.501190,e],[14.050720,a],[14.691620,s],[15.904114,o],[16.945648,n],[18.543610,s],[19.293274, ],[21.274048,w],[23.309998,cancel],[23.967682,i],[25.666107,l],[26.303101,l],[27.170654, ],[28.826935,c],[30.275757,o],[31.416870,m],[31.845612,e],[33.246155,done]"
