method,person,input,avgtime,numkeys,stdev,depth
4KWatchWrite,A,s,2.521242191,47,0.853690873,2
4KWatchWrite,A,t,1.365395,76,0.801359721,1
4KWatchWrite,A,u,2.510884929,28,0.562763247,2
4KWatchWrite,A,v,4.835413667,6,1.723941972,3
4KWatchWrite,A,w,3.632284765,17,0.884854804,3
4KWatchWrite,A,x,3.391652333,3,0.537700202,3
4KWatchWrite,A,y,3.089505692,13,0.696401752,3
4KWatchWrite,A,z,3.631469,1,0,3
4KWatchWrite,B,' ',0.937932791,139,0.396950447,1
4KWatchWrite,B,a,0.828881053,57,0.429501504,1
4KWatchWrite,B,b,3.0805418,5,0.875103023,3
4KWatchWrite,B,c,3.385079333,18,1.024554838,3
4KWatchWrite,B,cancel,3.104042315,54,1.88907981,1
4KWatchWrite,B,d,3.107177783,23,1.12250564,2
4KWatchWrite,B,del,2.42125971,31,1.786321544,2
4KWatchWrite,B,done,2.4616842,30,1.071763043,2
4KWatchWrite,B,e,0.914886703,91,0.52968023,1
4KWatchWrite,B,f,3.200458308,13,0.681499452,3
4KWatchWrite,B,g,4.377500905,21,1.131562402,3
4KWatchWrite,B,h,2.653406412,34,1.187902629,2
4KWatchWrite,B,i,2.345065542,48,0.852046196,2
4KWatchWrite,B,j,7.844727,1,0,3
4KWatchWrite,B,k,4.37072775,4,0.933147792,3
4KWatchWrite,B,l,2.770379905,21,1.184523524,2
4KWatchWrite,B,m,2.864291579,19,0.705630494,3
4KWatchWrite,B,n,2.06765926,50,0.834065175,2
4KWatchWrite,B,o,2.182086764,55,0.881172889,2
4KWatchWrite,B,p,3.72589625,12,1.246399758,3
4KWatchWrite,B,q,3.478200333,3,1.404210146,3
4KWatchWrite,B,r,2.368891868,53,0.813423333,2
4KWatchWrite,B,s,2.692102286,42,0.97118602,2
4KWatchWrite,B,t,1.450562083,48,0.899332231,1
4KWatchWrite,B,u,2.793808609,23,0.768849861,2
4KWatchWrite,B,v,4.438297375,8,1.495669144,3
4KWatchWrite,B,w,2.910034167,6,0.578756487,3
4KWatchWrite,B,x,4.217621,1,0,3
4KWatchWrite,B,y,3.667726176,17,1.003572623,3
4KWatchWrite,B,z,4.171234,1,0,3
4KWatchWrite,C,' ',0.894533439,139,0.282766085,1
4KWatchWrite,C,a,0.860344,53,0.287418135,1
4KWatchWrite,C,b,2.265502875,8,0.257184345,3
4KWatchWrite,C,c,2.090556346,26,0.544140289,3
4KWatchWrite,C,cancel,1.896819662,74,1.087674696,1
4KWatchWrite,C,d,1.948022172,29,0.814556466,2
4KWatchWrite,C,del,1.430517865,52,0.703632931,2
4KWatchWrite,C,done,1.855928633,30,0.504464635,2
4KWatchWrite,C,e,0.939521179,95,0.287905655,1
4KWatchWrite,C,f,2.327016682,22,0.632414575,3
4KWatchWrite,C,g,2.541238,14,0.647256802,3
4KWatchWrite,C,h,2.096111053,38,0.769230838,2
4KWatchWrite,C,i,1.294576667,51,0.408500242,2
4KWatchWrite,C,k,2.593331,11,0.504825953,3
4KWatchWrite,C,l,1.803589871,31,0.639226914,2
4KWatchWrite,C,m,1.9376626,15,0.399704035,3
4KWatchWrite,C,n,1.639601603,58,0.537706082,2
4KWatchWrite,C,o,1.486295738,65,0.503033816,2
4KWatchWrite,C,p,2.088250071,14,0.620951044,3
4KWatchWrite,C,q,2.187724,3,0.148747268,3
4KWatchWrite,C,r,1.519502822,45,0.417224827,2
4KWatchWrite,C,s,1.957784302,43,0.629001126,2
4KWatchWrite,C,t,1.005258093,54,0.55115831,1
4KWatchWrite,C,u,2.12253416,25,0.76311406,2
4KWatchWrite,C,v,3.092003,4,0.393736968,3
4KWatchWrite,C,w,2.080132,17,0.728928945,3
4KWatchWrite,C,x,2.495626,3,0.505056588,3
4KWatchWrite,C,y,2.41949475,16,0.641583477,3
