layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
5,5.153095381357223,0.05555555555555555,0.0,34,0,0,0,2,that sticker needs to be validated,that sticker needs to be validated,"[0.000031,t],[0.774292,h],[1.803436,a],[2.199921,t],[3.008148, ],[7.549103,s],[8.683624,t],[11.267029,cancel],[14.609222,i],[18.847412,c],[23.027771,k],[23.912231,e],[27.223297,r],[30.551025, ],[33.379181,n],[34.324188,e],[34.688568,e],[38.530640,d],[43.247284,s],[44.120575, ],[44.603760,t],[46.705872,o],[47.751099, ],[52.549866,b],[54.148468,e],[54.565491, ],[58.903229,v],[59.973846,a],[61.224701,l],[64.116028,i],[67.922729,cancel],[71.197174,d],[72.468414,a],[72.914764,t],[73.412231,e],[76.847015,d],[78.412170,done]"
5,3.380110668211597,0.07692307692307693,0.0,36,3,3,0,0,dinosaurs have been extinct for ages,dinosaurs have been extinct for ages,"[0.001343,d],[3.589203,i],[7.387909,o],[12.004395,del],[15.775848,n],[18.696014,o],[21.690063,s],[22.802582,a],[26.133270,u],[31.017975,r],[36.602509,r],[38.110443, ],[41.135956,del],[42.233795,del],[46.379578,s],[48.050934, ],[51.314667,h],[52.527588,a],[57.215668,v],[60.662476,e],[61.385345, ],[65.735168,b],[66.675568,e],[67.040039,e],[69.898865,n],[74.195496, ],[77.345795,e],[82.479950,x],[84.877533,t],[87.944489,i],[91.687408,n],[95.183319,c],[98.010773,t],[99.032837, ],[102.651337,f],[105.817719,o],[110.475342,r],[111.482239, ],[112.097748,a],[116.793549,g],[119.060822,e],[124.256287,s],[125.769592,done]"
5,5.0799561307634,0.0,0.0,29,0,0,0,0,lie detector tests never work,lie detector tests never work,"[0.000031,l],[2.971588,i],[4.193268,e],[4.751160, ],[7.256531,d],[8.193848,e],[8.876953,t],[9.411591,e],[15.036926,c],[15.637695,t],[18.356598,o],[21.906647,r],[23.518890, ],[24.062256,t],[24.349976,e],[28.212006,s],[30.080108,t],[31.090912,s],[32.661987, ],[37.067657,n],[38.991791,e],[44.697968,v],[47.042175,e],[50.213928,r],[52.164642, ],[54.835602,w],[59.180176,o],[62.718292,r],[66.142303,k],[68.415009,done]"
5,4.948785759183406,0.058823529411764705,0.0,16,1,1,0,0,i agree with you,i agree with you,"[0.000031,i],[3.219025, ],[4.720032,a],[8.034821,g],[10.742859,r],[11.525177,e],[11.817383,e],[12.383514, ],[15.852203,w],[19.236206,i],[20.346527,t],[21.139771,h],[22.087585, ],[24.921082,y],[28.087616,o],[33.328857,u],[34.236115, ],[36.372559,del],[37.650940,done]"
5,4.338690666882617,0.12121212121212122,0.0,29,3,3,0,1,please keep this confidential,please keep this confidential,"[0.000031,p],[2.199066,l],[3.044495,e],[3.435913,t],[7.572052,cancel],[10.673767,s],[14.447296,e],[17.200134,del],[19.307037,del],[20.514008,del],[21.844421,a],[24.880402,s],[26.108826,e],[26.859650, ],[30.563110,k],[31.413391,e],[31.755554,e],[35.623718,p],[36.506866, ],[38.263428,t],[39.087372,h],[41.817719,i],[43.359924,s],[44.263641, ],[48.148285,c],[51.063507,o],[54.774231,n],[59.287354,f],[61.761963,i],[64.731628,d],[65.763580,e],[70.078003,n],[71.166016,t],[74.011108,i],[75.263153,a],[77.442719,l],[79.593079,done]"
5,6.762654838575146,0.0,0.0,34,0,0,0,0,the cat has a pleasant temperament,the cat has a pleasant temperament,"[0.000031,t],[1.013885,h],[1.683350,e],[2.564423, ],[5.771576,c],[6.373077,a],[6.919312,t],[7.973511, ],[10.125977,h],[11.287354,a],[12.444550,s],[13.604858, ],[14.049194,a],[15.269318, ],[19.202820,p],[22.215088,l],[24.296631,e],[24.901001,a],[26.462250,s],[27.739655,a],[30.830322,n],[32.090576,t],[34.032684, ],[34.855713,t],[36.269348,e],[40.058228,m],[44.411194,p],[45.394989,e],[48.052795,r],[50.893066,a],[53.537903,m],[54.275391,e],[57.451843,n],[58.556885,t],[60.460693,done]"
5,5.914082645000024,0.0,0.0,26,0,0,0,0,well connected with people,well connected with people,"[0.000031,w],[0.787933,e],[1.733337,l],[3.182587,l],[4.438507, ],[7.423248,c],[11.917480,o],[13.153290,n],[14.214203,n],[16.341980,e],[20.489288,c],[22.980560,t],[23.999664,e],[26.159363,d],[27.222717, ],[30.077026,w],[32.608246,i],[33.596619,t],[34.656982,h],[36.034973, ],[39.110779,p],[39.997925,e],[42.717407,o],[46.470062,p],[49.782043,l],[50.726379,e],[52.678955,done]"
5,4.42458168692433,0.15789473684210525,0.0,32,1,1,0,5,a rattle snake is very poisonous,a rattle snake is very poisonous,"[0.000031,a],[1.053131, ],[3.724609,r],[4.726654,a],[5.192383,t],[5.448639,t],[7.709137,l],[8.507996,e],[9.730438, ],[11.174377,s],[13.339630,n],[14.052399,a],[18.179688,k],[19.529755,e],[20.353058, ],[22.682617,i],[25.567047,s],[26.375702, ],[28.949463,cancel],[32.220245,v],[35.024780,e],[39.149841,r],[42.940857,y],[46.686493,cancel],[48.970856,p],[51.734833,cancel],[53.658844,del],[57.490051,cancel],[59.374023, ],[62.890289,p],[64.900635,o],[67.539154,i],[69.800903,s],[71.512115,o],[73.104370,n],[74.196655,o],[80.375000,cancel],[82.551208,u],[84.075745,s],[85.573700,done]"
5,3.8128364543045703,0.22580645161290322,0.0,24,6,6,0,1,we have enough witnesses,we have enough witnesses,"[0.000000,w],[1.439606,e],[4.639893,h],[6.250885,a],[11.030975,v],[12.262421,e],[16.014557,del],[17.015808,del],[17.869965,del],[18.811310,del],[19.698700, ],[22.676544,h],[23.685516,a],[26.144409,v],[27.015839,e],[27.678162, ],[28.301697,e],[29.351990,n],[32.141388,o],[36.083435,cancel],[37.560272,u],[43.304382,u],[44.509735, ],[46.062347,del],[46.810883,del],[51.589783,g],[56.410309,h],[58.384888, ],[61.242065,w],[63.994110,i],[65.727905,t],[66.792114,n],[68.335052,e],[69.460632,s],[70.905975,s],[71.602997,e],[72.387054,s],[73.669678,done]"
5,4.090667344008242,0.20454545454545456,0.0,35,6,6,0,3,look in the syllabus for the course,look in the syllabus for the course,"[0.000031,l],[4.004089,o],[5.400970,o],[8.721252,cancel],[11.990631,k],[16.133453,i],[18.399567,del],[18.907288, ],[20.347351,i],[21.953583,n],[22.566772,t],[24.346985,cancel],[25.812164,del],[27.483612, ],[28.422607,n],[29.633240, ],[31.096710,del],[31.939514,del],[33.353485,t],[34.439087,h],[35.109131,e],[36.257477, ],[39.629395,s],[41.818756,y],[44.599579,l],[45.679626,l],[46.279694,a],[50.792542,b],[54.537720,u],[55.992676,s],[57.189697, ],[62.277008,f],[64.664734,o],[67.959290,r],[68.592987, ],[69.088623,t],[69.840118,h],[70.348663,e],[70.897125, ],[73.739075,c],[76.589111,o],[81.596863,u],[82.778687,s],[83.126068,e],[85.508362,del],[86.444092,del],[89.879425,cancel],[93.528259,r],[98.669891,s],[99.739227,e],[101.373444,done]"
5,6.193756510635438,0.03125,0.0,31,1,1,0,0,valid until the end of the year,valid until the end of the year,"[0.000031,v],[0.731598,a],[2.245514,l],[5.958099,i],[9.755188,d],[10.396301, ],[13.370819,u],[15.400238,n],[18.223816,t],[20.989410,i],[24.008728,l],[24.631134, ],[25.097107,t],[26.323517,h],[26.805420,e],[27.410889, ],[27.815918,e],[31.421478,n],[34.602875,d],[37.537476,o],[40.124420,del],[40.663361, ],[41.673828,o],[44.447479,f],[46.423370, ],[47.706146,t],[48.452423,h],[48.849762,e],[50.131470, ],[52.735596,y],[55.003876,e],[55.403931,a],[58.123047,r],[59.597626,done]"
5,5.135332050592417,0.07894736842105263,0.0,35,1,1,0,2,the presidential suite is very busy,the presidential suite is very busy,"[0.000031,t],[1.651947,x],[4.714294,del],[6.062531,h],[6.754120,e],[8.336334, ],[11.980713,p],[15.378082,r],[17.199677,e],[21.048798,s],[23.244202,i],[24.837921,d],[26.234344,e],[27.353302,n],[27.973328,t],[30.001923,i],[30.643188,a],[32.205597,l],[32.911560, ],[33.960052,s],[38.052002,u],[40.607941,cancel],[42.215393,i],[42.780029,t],[43.878265,e],[44.517517, ],[47.102966,i],[50.029572,s],[50.558319, ],[53.124237,v],[53.627258,e],[57.390594,r],[62.092682,y],[62.972137, ],[65.200806,cancel],[69.042755,b],[73.114685,u],[76.599609,s],[79.449585,y],[80.849701,done]"
5,3.3625204536966833,0.2222222222222222,0.037037037037037035,20,4,4,1,2,we park in driveways,we park in driveways ,"[0.000031,w],[0.971466,e],[1.443329, ],[5.262939,p],[5.912781,a],[7.591278,r],[10.051086,k],[14.473938,i],[16.160309, ],[18.173767,del],[18.901215,del],[20.971130, ],[22.187897,i],[25.757629,d],[29.155029,r],[33.097137,del],[34.004333,del],[35.691986,n],[36.940063, ],[39.038757,d],[43.094971,r],[47.570496,i],[51.684204,v],[53.774872,e],[58.753845,cancel],[61.775269,w],[62.634979,a],[66.804108,cancel],[69.655884,y],[70.598480,s],[71.375031, ],[73.213318,done]"
5,5.889656465912449,0.04,0.04,23,0,0,1,1,he is still on our team,he is still on our team ,"[0.000031,h],[1.095551,e],[2.308472, ],[4.847473,i],[8.353790,s],[10.625702, ],[11.780701,s],[12.408234,cancel],[14.339630,t],[16.666748,i],[18.672363,l],[19.757446,l],[20.790558, ],[23.117371,o],[25.810913,n],[27.349579, ],[28.228333,o],[33.194275,u],[37.347717,r],[39.339966, ],[40.642761,t],[41.873169,e],[42.194824,a],[45.911194,m],[46.861816, ],[48.982697,done]"
5,4.348654346688881,0.0,0.0,23,0,0,0,0,a most ridiculous thing,a most ridiculous thing,"[0.000031,a],[2.034363, ],[4.740234,m],[7.446991,o],[9.819489,s],[10.285797,t],[12.241943, ],[15.216370,r],[19.023682,i],[22.030701,d],[25.219482,i],[29.445496,c],[34.011688,u],[36.696411,l],[40.036438,o],[42.090118,u],[47.072876,s],[48.706452, ],[51.212036,t],[52.348572,h],[53.819641,i],[57.325592,n],[60.708435,g],[64.109863,done]"
5,6.144505085003209,0.04,0.0,24,0,0,0,1,did you have a good time,did you have a good time,"[0.000000,d],[1.910980,cancel],[3.802399,i],[4.796783,d],[6.057007, ],[7.957428,y],[11.202759,o],[16.097473,u],[17.378357, ],[20.245514,h],[22.118439,a],[24.595215,v],[26.769714,e],[28.441528, ],[29.150665,a],[30.527344, ],[33.474823,g],[36.065887,o],[36.927521,o],[38.490906,d],[39.747864, ],[40.518066,t],[41.968262,i],[44.472748,m],[44.918182,e],[46.527191,done]"
5,6.1470240331612445,0.05555555555555555,0.0,34,0,0,0,2,an inefficient way to heat a house,an inefficient way to heat a house,"[0.000031,a],[2.835846,n],[3.515289, ],[7.148926,i],[9.121124,n],[10.637054,e],[14.622284,f],[16.074921,f],[19.529633,i],[22.795685,c],[24.238647,i],[24.769226,e],[26.179993,n],[29.158051,t],[29.774902, ],[32.850555,w],[34.281769,a],[36.376984,y],[36.948151, ],[38.149109,t],[40.368469,o],[41.140076, ],[45.294617,cancel],[47.438934,h],[48.634674,e],[50.108917,a],[50.421173,t],[51.010681, ],[51.416107,cancel],[52.460571,a],[53.356262, ],[54.647552,h],[57.083893,o],[61.889465,u],[64.144623,s],[64.421417,e],[68.241730,done]"
5,5.437842514525542,0.0,0.029411764705882353,33,0,0,1,0,a security force of eight thousand,a security force of eight thosand,"[0.000000,a],[0.870728, ],[5.603638,s],[6.192963,e],[10.162720,c],[14.074890,u],[16.945892,r],[21.316895,i],[21.865631,t],[24.870941,y],[25.542572, ],[28.715729,f],[31.531738,o],[35.665894,r],[39.232544,c],[40.430176,e],[40.986298, ],[42.996368,o],[46.512451,f],[47.384521, ],[48.175262,e],[51.674286,i],[55.120972,g],[57.239197,h],[58.664093,t],[59.230469, ],[59.744568,t],[60.861755,h],[63.645782,o],[65.466309,s],[66.339630,a],[68.370056,n],[70.616241,d],[89.745209,done]"
5,5.33443309705178,0.03125,0.0,31,0,0,0,1,i skimmed through your proposal,i skimmed through your proposal,"[0.000031,i],[1.115112, ],[3.689880,s],[6.123871,k],[8.596893,i],[11.106415,m],[12.759094,m],[13.429199,e],[14.918488,d],[15.753235, ],[16.421021,t],[17.370514,h],[20.209625,r],[22.339966,o],[23.992462,u],[27.522858,g],[29.129791,h],[29.809174, ],[32.393463,y],[35.873718,o],[38.941498,u],[43.174957,r],[45.039185, ],[48.204620,p],[51.031219,r],[52.777466,o],[55.481323,cancel],[59.390625,p],[61.755768,o],[65.511322,s],[66.225189,a],[67.486084,l],[69.108765,done]"
5,5.717925090650619,0.06060606060606061,0.0,31,1,1,0,1,arguing with the boss is futile,arguing with the boss is futile,"[0.000031,a],[4.208131,r],[7.648775,g],[10.939821,u],[13.717226,i],[17.296999,n],[20.972780,g],[23.360078, ],[26.325288,w],[28.803102,i],[29.551027,t],[30.390840,h],[30.991029, ],[31.512849,t],[32.394991,h],[32.946413,e],[33.600557, ],[37.160280,b],[38.742494,o],[39.962038,s],[40.766542,s],[41.385042, ],[43.535005,i],[45.452272,s],[45.975710, ],[48.759187,f],[53.019441,cancel],[54.860170,u],[55.616457,t],[57.175356,i],[58.040804,l],[58.902559,l],[62.186708,del],[62.959901,e],[64.101808,done]"
5,7.42460773156978,0.0,0.0,23,0,0,0,0,accompanied by an adult,accompanied by an adult,"[0.000000,a],[2.620392,c],[3.904419,c],[5.971436,o],[9.004303,m],[12.320312,p],[13.483521,a],[15.488556,n],[17.078339,i],[17.519196,e],[18.690521,d],[19.248901, ],[21.641449,b],[24.219421,y],[24.776428, ],[25.350311,a],[27.440613,n],[28.160187, ],[29.583588,a],[32.204071,d],[33.649567,u],[35.109985,l],[35.557434,t],[36.651306,done]"
5,4.687793198676694,0.047619047619047616,0.047619047619047616,19,0,0,1,1,you have my sympathy,you have my sympthy,"[0.000000,y],[2.239502,o],[4.789795,u],[5.426788, ],[9.847504,h],[10.649872,a],[13.078949,v],[14.837219,e],[17.331360, ],[19.468628,m],[22.036072,y],[22.586792, ],[25.880035,cancel],[27.670410,s],[30.381500,y],[32.474426,m],[35.574554,p],[38.496735,t],[42.915558,h],[46.077118,y],[47.966156,done]"
5,4.720772616965714,0.0,0.0,26,0,0,0,0,the quick brown fox jumped,the quick brown fox jumped,"[0.000000,t],[0.790497,h],[1.304871,e],[2.300873, ],[5.457275,q],[8.347626,u],[10.792603,i],[14.705933,c],[18.755341,k],[19.302338, ],[22.983307,b],[24.978271,r],[27.432892,o],[31.514008,w],[35.165283,n],[35.698181, ],[38.351074,f],[40.181549,o],[44.953735,x],[46.157288, ],[50.383789,j],[54.471008,u],[56.619965,m],[59.896240,p],[60.459290,e],[63.548920,d],[65.628571,done]"
