timestamp,posx,posy,action
818528,204.0,49.0,0
819371,175.24408,38.0,2
819393,158.20067,36.280045,2
819415,134.81146,36.0,2
819438,87.95326,33.17372,2
819460,66.26822,36.0,2
819482,42.10492,38.210564,2
819502,29.0,38.0,2
819526,13.990524,42.801895,2
819549,13.0,45.31932,2
819571,4.08189,46.48635,2
819593,4.1556625,47.844337,2
819615,1.6199722,48.0,2
819637,0.5163536,48.0,2
819653,-0.48998642,48.0,2
819745,-1.0,48.0,2
819811,-1.0,49.0,2
820028,10.0,49.0,2
820108,11.0,49.0,2
820191,13.0,49.0,2
820215,15.989243,49.0,2
820238,19.628532,49.0,2
820260,23.683502,49.0,2
820281,25.976326,40.07103,2
820305,29.864235,42.0,2
820327,35.648224,42.0,2
820347,36.8797,42.0,2
820394,39.314728,42.0,2
820413,41.97454,42.0,2
820455,42.0,42.0,2
820479,43.48365,42.0,2
820570,44.0,42.0,2
820636,45.0,42.0,2
820659,46.5,42.0,2
821399,47.0,50.0,2
821496,49.0,50.0,2
821528,66.537254,50.0,2
821550,81.648315,47.33667,2
821573,116.54143,44.652313,2
821595,150.4303,41.96414,2
821617,160.9815,42.0,2
821639,171.3883,40.20146,2
821662,179.3324,40.0,2
821684,183.22473,40.0,2
821706,185.7507,38.0,2
821728,187.1113,38.0,2
821928,187.0,35.785454,2
821973,187.0,35.0,2
822113,187.0,35.0,1
822333,200.0,33.0,0
822879,176.0,33.0,2
822907,150.91786,30.127861,2
822929,117.511765,30.0,2
822950,99.21837,31.486351,2
822974,73.694176,29.980888,2
822996,67.82767,30.0,2
823016,60.10337,31.482773,2
823041,53.14012,33.0,2
823063,49.112892,34.2957,2
823085,47.047493,35.0,2
823107,45.00895,35.0,2
823115,44.517227,35.0,2
823157,44.0,35.0,2
823190,44.0,36.0,2
823339,44.0,37.0,2
823470,44.0,38.0,2
823554,44.0,39.0,2
823603,44.0,40.0,2
823725,44.0,40.0,1
825688,211.0,49.0,0
826462,211.0,65.0,2
826488,208.48111,78.03781,2
826510,206.07855,87.45015,2
