timestamp,posx,posy,action
6465270,964.0,147.0,0
6465332,963.0,144.0,2
6465482,966.0,143.0,2
6465507,963.0,142.0,2
6465520,966.0,142.0,2
6465532,962.0,142.0,2
6465570,966.0,141.0,2
6465631,963.0,142.0,2
6465656,966.0,141.0,2
6465731,963.0,141.0,2
6465794,963.0,141.0,2
6465881,966.0,141.0,2
6465894,963.0,141.0,2
6466031,963.0,139.0,2
6466069,952.0,125.0,2
6466081,942.0,115.0,2
6466107,930.0,98.0,2
6466131,919.0,81.0,2
6466143,917.0,77.0,2
6466180,912.0,69.0,2
6466230,909.0,60.0,2
6466255,910.0,31.0,2
6466268,917.0,0.0,2
6466280,914.0,0.0,2
6466292,914.0,0.0,1
6467096,598.0,120.0,0
6467122,589.0,118.0,2
6467196,586.0,115.0,2
6467583,589.0,115.0,2
6467608,586.0,114.0,2
6467782,587.0,114.0,2
6467882,592.0,113.0,2
6467895,588.0,113.0,2
6467920,592.0,112.0,2
6467932,586.0,112.0,2
6467945,591.0,112.0,2
6468006,534.0,111.0,2
6468031,501.0,112.0,2
6468044,481.0,113.0,2
6468069,423.0,113.0,2
6468081,411.0,114.0,2
6468106,383.0,114.0,2
6468119,372.0,113.0,2
6468144,338.0,113.0,2
6468156,326.0,113.0,2
6468181,314.0,112.0,2
6468194,309.0,112.0,2
6468231,303.0,112.0,2
6468331,297.0,112.0,2
6468343,294.0,113.0,2
6468506,281.0,113.0,2
6468519,264.0,114.0,2
6468544,242.0,115.0,2
6468569,246.0,115.0,2
6468605,243.0,115.0,2
6468630,246.0,115.0,2
6468643,243.0,116.0,2
6468693,248.0,115.0,2
6468730,245.0,115.0,2
6468805,248.0,115.0,2
6468830,256.0,115.0,2
6468843,271.0,115.0,2
6468868,307.0,115.0,2
6468880,315.0,115.0,2
6468905,361.0,115.0,2
6468917,390.0,115.0,2
6468942,419.0,115.0,2
6468967,446.0,115.0,2
6468980,461.0,116.0,2
6469005,480.0,116.0,2
6469017,487.0,117.0,2
6469042,505.0,117.0,2
6469055,509.0,117.0,2
6469080,523.0,118.0,2
6469092,534.0,118.0,2
6469117,554.0,118.0,2
6469204,552.0,118.0,2
6469279,549.0,118.0,2
6469442,552.0,118.0,2
6469479,549.0,118.0,2
6469666,543.0,119.0,2
6469678,543.0,119.0,1
6470464,99.0,121.0,0
6470625,100.0,118.0,2
6470988,100.0,118.0,2
6471162,100.0,122.0,2
6471175,93.0,118.0,2
6471187,93.0,118.0,1
6472392,1057.0,88.0,0
6472417,1037.0,91.0,2
6472430,1049.0,91.0,2
6472454,1050.0,91.0,2
6472491,1037.0,91.0,2
6472504,1048.0,90.0,2
6472616,1033.0,91.0,2
6472629,1048.0,92.0,2
6472691,1033.0,92.0,2
6472716,1046.0,91.0,2
6472766,1043.0,92.0,2
6472803,1040.0,91.0,2
6472816,1037.0,91.0,2
6472841,993.0,88.0,2
6472854,984.0,88.0,2
6472878,976.0,87.0,2
6472916,976.0,87.0,2
6473116,966.0,86.0,2
6473128,975.0,85.0,2
6473153,966.0,86.0,2
6473178,975.0,84.0,2
6473191,967.0,85.0,2
6473215,976.0,85.0,2
6473228,968.0,86.0,2
6473253,968.0,86.0,2
6473265,976.0,85.0,2
6473290,968.0,86.0,2
6473303,977.0,85.0,2
6473377,968.0,86.0,2
6473390,977.0,86.0,2
6473489,967.0,87.0,2
6473502,977.0,86.0,2
6473527,968.0,86.0,2
6473539,976.0,86.0,2
6473577,968.0,86.0,2
6473627,958.0,85.0,2
6473639,938.0,86.0,2
6473652,917.0,87.0,2
6474064,921.0,89.0,2
6474089,934.0,88.0,2
6474114,935.0,88.0,2
6474126,939.0,88.0,2
6474151,951.0,88.0,2
6474176,978.0,88.0,2
6474226,1010.0,89.0,2
6474288,1073.0,90.0,2
6474326,1077.0,90.0,2
6474338,1101.0,89.0,2
6474388,1117.0,90.0,2
6474413,1150.0,88.0,2
6474425,1135.0,89.0,2
6474450,1139.0,89.0,2
6474463,1151.0,88.0,2
6474488,1148.0,89.0,2
6474538,1131.0,89.0,2
6474550,1146.0,88.0,2
6474588,1132.0,89.0,2
6474625,1146.0,89.0,2
6474650,1130.0,90.0,2
6474675,1130.0,89.0,2
6474737,1146.0,88.0,2
6474762,1132.0,89.0,2
6474800,1145.0,88.0,2
6474812,1130.0,89.0,2
6474875,1143.0,88.0,2
6474900,1130.0,89.0,2
6474925,1143.0,87.0,2
6474937,1117.0,92.0,2
6474949,1117.0,92.0,1
6475780,10.0,106.0,0
6475830,13.0,106.0,2
6475867,9.0,104.0,2
6475880,12.0,105.0,2
6476291,12.0,105.0,2
6476428,12.0,105.0,1
6479877,216.0,88.0,0
6479890,212.0,91.0,2
6480114,210.0,92.0,2
6480189,214.0,92.0,2
6480214,210.0,92.0,2
6480389,210.0,92.0,2
6480514,228.0,92.0,2
6480526,241.0,92.0,2
6480551,284.0,92.0,2
6480564,295.0,93.0,2
6480588,309.0,93.0,2
6480613,325.0,93.0,2
6480650,355.0,95.0,2
6480663,372.0,96.0,2
6480688,407.0,98.0,2
6480713,440.0,99.0,2
6480725,475.0,99.0,2
6480750,509.0,101.0,2
6480763,527.0,102.0,2
6480788,589.0,102.0,2
6480800,602.0,103.0,2
6480825,618.0,104.0,2
6480838,652.0,104.0,2
6480862,684.0,107.0,2
6480875,690.0,107.0,2
6480900,697.0,107.0,2
6480937,699.0,108.0,2
6481062,713.0,108.0,2
6481074,738.0,109.0,2
6481099,764.0,109.0,2
6481112,787.0,110.0,2
6481137,797.0,111.0,2
6481150,805.0,112.0,2
6481162,808.0,111.0,2
6481187,811.0,112.0,2
6481711,808.0,111.0,2
6481748,800.0,113.0,2
6481760,800.0,113.0,1
6482480,12.0,105.0,0
6482841,10.0,102.0,2
6482929,11.0,105.0,2
6482941,9.0,108.0,2
6482953,9.0,108.0,1
6485040,1366.0,95.0,0
6485053,1338.0,95.0,2
6485077,1326.0,97.0,2
6485114,1323.0,97.0,2
6485164,1326.0,96.0,2
6485226,1323.0,97.0,2
6485427,1326.0,97.0,2
6485464,1323.0,98.0,2
6485539,1314.0,99.0,2
6485551,1327.0,99.0,2
6485564,1327.0,99.0,2
6485613,1328.0,96.0,2
6485700,1333.0,95.0,2
6485725,1351.0,92.0,2
6485738,1351.0,92.0,1
6487585,615.0,77.0,0
6487598,613.0,80.0,2
6487922,610.0,81.0,2
6487984,614.0,83.0,2
6488009,611.0,82.0,2
6488084,614.0,82.0,2
6488096,614.0,82.0,2
6488109,611.0,81.0,2
6488346,614.0,82.0,2
6488396,634.0,83.0,2
6488421,653.0,84.0,2
6488433,678.0,82.0,2
6488458,691.0,84.0,2
6488470,702.0,85.0,2
6488495,746.0,87.0,2
6488508,785.0,87.0,2
6488533,817.0,88.0,2
6488545,868.0,88.0,2
6488583,936.0,88.0,2
6488608,978.0,90.0,2
6488620,986.0,90.0,2
6488645,991.0,90.0,2
6488657,995.0,90.0,2
6488832,1016.0,93.0,2
6488845,1027.0,94.0,2
6488870,1030.0,94.0,2
6488883,1041.0,93.0,2
6488932,1041.0,93.0,2
6489057,1029.0,93.0,2
6489107,1040.0,93.0,2
6489120,1030.0,94.0,2
6489145,1043.0,93.0,2
6489182,1051.0,95.0,2
6489194,1064.0,96.0,2
6489269,1067.0,95.0,2
6489306,1064.0,96.0,2
6489381,1065.0,97.0,2
6489432,1069.0,95.0,2
6489456,1066.0,96.0,2
6489469,1074.0,96.0,2
6489481,1067.0,96.0,2
6489519,1070.0,96.0,2
6489531,1067.0,96.0,2
6489568,1092.0,98.0,2
6489581,1097.0,98.0,2
6489593,1092.0,99.0,2
6489618,1102.0,101.0,2
6489631,1107.0,100.0,2
6489693,1102.0,100.0,2
6489705,1108.0,100.0,2
6489743,1102.0,100.0,2
6489768,1108.0,101.0,2
6489843,1107.0,100.0,2
6489880,1109.0,101.0,2
6489930,1102.0,100.0,2
6489955,1101.0,101.0,2
6490080,1104.0,106.0,2
6490092,1104.0,106.0,1
6491569,17.0,104.0,0
6491581,28.0,104.0,2
6491643,31.0,104.0,2
6491680,26.0,105.0,2
6491768,29.0,105.0,2
6491780,26.0,104.0,2
6491818,29.0,104.0,2
6491868,24.0,104.0,2
6491917,27.0,104.0,2
6492080,27.0,104.0,2
6492105,33.0,104.0,2
6492118,27.0,104.0,2
6492168,29.0,105.0,2
6492204,28.0,104.0,2
6492242,25.0,104.0,2
6492304,29.0,104.0,2
6492329,24.0,104.0,2
6492367,11.0,106.0,2
6492380,11.0,110.0,2
6492392,11.0,110.0,1
6493566,886.0,93.0,0
6493591,882.0,94.0,2
6493628,889.0,92.0,2
6493740,882.0,93.0,2
6493778,889.0,93.0,2
6493890,882.0,92.0,2
6493903,888.0,92.0,2
6493928,882.0,92.0,2
6493940,888.0,93.0,2
6493965,888.0,93.0,2
6494064,886.0,93.0,2
6494077,886.0,93.0,2
6494177,882.0,92.0,2
6494189,887.0,92.0,2
6494265,884.0,92.0,2
6494301,870.0,92.0,2
6494314,862.0,91.0,2
6494352,859.0,90.0,2
6494364,826.0,91.0,2
6494389,787.0,90.0,2
6494401,768.0,90.0,2
6494426,706.0,89.0,2
6494451,682.0,88.0,2
6494464,675.0,87.0,2
6494489,630.0,87.0,2
6494501,622.0,87.0,2
6494676,601.0,87.0,2
6494726,596.0,90.0,2
6494739,592.0,90.0,2
6494975,585.0,90.0,2
6494988,591.0,91.0,2
6495125,593.0,88.0,2
6495150,577.0,94.0,2
6495162,577.0,94.0,1
6496661,1304.0,100.0,0
6496674,1291.0,100.0,2
6496710,1288.0,100.0,2
6496772,1290.0,99.0,2
6496798,1273.0,99.0,2
6496835,1289.0,99.0,2
6496847,1273.0,99.0,2
