timestamp,posx,posy,action
9767647,9.0,82.0,0
9767672,9.0,88.0,2
9767696,9.0,95.0,2
9767733,9.0,92.0,2
9767758,12.0,90.0,2
9767820,11.0,88.0,2
9767833,8.0,89.0,2
9767845,11.0,87.0,2
9767995,8.0,89.0,2
9768020,11.0,88.0,2
9768170,11.0,88.0,2
9768208,13.0,98.0,2
9768219,13.0,98.0,1
9768875,1351.0,112.0,0
9768888,1346.0,112.0,2
9768924,1349.0,112.0,2
9769224,1344.0,110.0,2
9769299,1342.0,111.0,2
9769312,1339.0,111.0,2
9769374,1327.0,111.0,2
9769387,1312.0,110.0,2
9769411,1242.0,109.0,2
9769424,1223.0,109.0,2
9769449,1207.0,109.0,2
9769473,1216.0,108.0,2
9769561,1213.0,108.0,2
9769611,1207.0,109.0,2
9769636,1208.0,110.0,2
9769647,1208.0,110.0,1
9784554,505.0,82.0,0
9784578,506.0,86.0,2
9784665,502.0,87.0,2
9784690,506.0,86.0,2
9784852,504.0,89.0,2
9785064,504.0,89.0,2
9785102,499.0,89.0,2
9785114,506.0,88.0,2
9785139,499.0,88.0,2
9785165,494.0,87.0,2
9785176,501.0,87.0,2
9785326,505.0,87.0,2
9785351,505.0,90.0,2
9785451,502.0,90.0,2
9785463,506.0,91.0,2
9785488,506.0,90.0,2
9785563,502.0,89.0,2
9785588,502.0,90.0,2
9785601,505.0,90.0,2
9785900,502.0,88.0,2
9785912,507.0,88.0,2
9786199,501.0,91.0,2
9786224,500.0,90.0,2
9786299,497.0,93.0,2
9786311,502.0,92.0,2
9786399,497.0,93.0,2
9786411,502.0,93.0,2
9786486,496.0,92.0,2
9786498,501.0,93.0,2
9786523,501.0,93.0,2
9786536,498.0,93.0,2
9786561,497.0,93.0,2
9786573,501.0,93.0,2
9786598,496.0,92.0,2
9786648,501.0,92.0,2
9786660,498.0,92.0,2
9786685,501.0,93.0,2
9786722,497.0,93.0,2
9786847,500.0,94.0,2
9786898,497.0,92.0,2
9786923,498.0,92.0,2
9786935,502.0,93.0,2
9786973,497.0,93.0,2
9787022,497.0,93.0,2
9787047,501.0,93.0,2
9787072,497.0,93.0,2
9787122,501.0,93.0,2
9787134,498.0,93.0,2
9787184,498.0,93.0,2
9787221,497.0,93.0,2
9787284,502.0,93.0,2
9787296,499.0,93.0,2
