Method,Person,Block,layout,WPM,CER,UER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions,layout
4KWatchWrite,1,3,3,5.022005502,0.06122449,0.142857143,39,1,1,7,2,safe to walk the streets in the evening,safe to walk the safe streets in the evening  ,"[0.000000,s],[0.938995,a],[4.021912,f],[4.801636,e],[5.798553, ],[8.391876,t],[10.903961,o],[11.523041, ],[14.744507,w],[15.400299,a],[18.623535,l],[22.059235,k],[22.858673, ],[23.282288,t],[26.722382,h],[28.257690,e],[28.975464, ],[32.173065,s],[32.972931,a],[35.907959,f],[36.500183,e],[37.019684, ],[38.273651,t],[43.623810,del],[47.230011,s],[49.401428,t],[52.780151,r],[54.162964,e],[54.819855,e],[57.863831,cancel],[58.705475,t],[62.004303,s],[63.758484, ],[66.219604,i],[69.412323,n],[71.009766, ],[72.639954,t],[75.087219,h],[78.701874,cancel],[79.193573,e],[81.375214, ],[82.006927,e],[85.857910,v],[86.880157,e],[89.722870,n],[92.046906,i],[94.773254,n],[99.738342,g],[106.672699, ],[107.526764, ],[108.782684,done]",6.858621685
4KWatchWrite,1,3,3,3.596813492,0.184210526,0,31,5,5,0,2,arguing with the boss is futile,arguing with the boss is futile,"[0.000000,a],[4.382660,r],[7.554932,i],[10.399445,u],[12.645447,i],[14.934296,cancel],[19.923279,n],[21.677368,del],[22.882568,del],[23.781372,del],[25.132629,del],[28.054840,g],[30.984650,u],[35.735199,i],[39.958740,n],[44.593262,g],[45.442230, ],[49.570282,w],[51.470490,i],[54.100342,t],[58.690155,cancel],[60.392761,h],[61.309662, ],[62.235260,t],[64.775208,h],[65.660675,e],[66.436768, ],[69.079193,b],[72.098358,o],[75.570374,s],[76.975555,s],[78.729553,i],[80.493744,del],[81.165955, ],[82.924713,i],[85.897186,s],[87.263824, ],[90.035034,f],[92.486694,u],[94.742249,t],[96.977661,i],[99.147247,l],[100.088593,e],[101.839905,done]",5.51798643
4KWatchWrite,1,3,3,5.125921993,0,0,34,0,0,0,0,labour unions know how to organize,labour unions know how to organize,"[0.000000,l],[0.716705,a],[3.377563,b],[6.250763,o],[8.756500,u],[11.702148,r],[13.082672, ],[15.513214,u],[17.727203,n],[19.641541,i],[22.149017,o],[24.723633,n],[27.242493,s],[28.254303, ],[32.441650,k],[35.495087,n],[37.591095,o],[41.683136,w],[42.510803, ],[45.060364,h],[47.029999,o],[50.117737,w],[51.064697, ],[53.699341,t],[55.983398,o],[56.879242, ],[58.063629,o],[60.996277,r],[64.482635,g],[65.435913,a],[70.689789,n],[72.803223,i],[76.434692,z],[77.254395,e],[78.660278,done]",2.399177501
4KWatchWrite,1,3,3,6.35716615,0.045454545,0,42,1,1,0,1,if you come home late the doors are locked,if you come home late the doors are locked,"[0.000000,i],[2.625305,f],[3.408447, ],[6.314789,y],[7.920258,o],[10.581085,u],[11.362030, ],[13.801300,c],[15.549713,o],[19.025970,m],[20.115936,e],[20.618103, ],[23.682800,h],[25.433929,o],[28.474487,m],[29.371796,e],[30.044464, ],[31.632507,l],[32.599091,a],[34.898987,t],[36.030884,e],[36.842773, ],[37.503967,t],[39.492706,e],[39.658051,cancel],[41.406097,del],[43.885132,h],[44.912689,e],[47.421356, ],[51.293488,d],[52.670959,o],[53.998749,o],[56.506470,r],[58.867157,s],[59.710602, ],[60.295380,a],[62.197510,r],[63.116882,e],[63.733276, ],[65.245453,l],[67.019226,o],[70.213074,c],[74.050232,k],[74.859497,e],[77.392975,d],[79.276367,done]",4.031201671
4KWatchWrite,1,3,3,5.157044597,0.058823529,0,32,0,0,0,2,the plug does not fit the socket,the plug does not fit the socket,"[0.000000,t],[4.799194,h],[5.712646,e],[6.218567, ],[10.281982,p],[12.046112,l],[14.821930,u],[18.944366,g],[19.674438, ],[22.221985,d],[23.654114,o],[27.060791,cancel],[29.013275,e],[32.217133,s],[33.181244, ],[36.639374,n],[40.065369,o],[41.048828,t],[41.868256, ],[44.583771,f],[46.907135,i],[48.042755,t],[49.726166, ],[50.805939,t],[53.774323,h],[54.623505,e],[55.232452, ],[59.013550,s],[60.710388,o],[63.988098,c],[67.228851,cancel],[70.170044,k],[70.796143,e],[72.134338,t],[73.683044,done]",3.05825361
4KWatchWrite,1,4,3,6.199644578,0.043478261,0.043478261,21,1,1,1,0,the winner of the race,the winner of ehe race,"[0.000031,t],[2.926636,h],[3.745758,e],[4.260254, ],[9.070740,w],[11.063690,i],[14.999084,n],[15.671143,e],[17.919556,del],[19.654236,n],[20.785858,e],[22.763214,r],[23.760712, ],[25.422760,o],[28.585358,f],[29.344727, ],[29.965088,e],[32.255890,h],[33.308777,e],[33.830872, ],[35.562408,r],[36.309998,a],[39.901154,c],[40.647491,e],[41.936920,done]",1.637730524
4KWatchWrite,1,4,3,6.519501034,0,0,34,0,0,0,0,a security force of eight thousand,a security force of eight thousand,"[0.000031,a],[0.607849, ],[2.772614,s],[3.581482,e],[6.723206,c],[9.227539,u],[11.982361,r],[13.882874,i],[14.692841,t],[17.769043,y],[18.536804, ],[21.237701,f],[23.355408,o],[25.250732,r],[28.509399,c],[29.065613,e],[30.149231, ],[31.565857,o],[34.330811,f],[35.182861, ],[36.194336,e],[37.952209,i],[40.530396,g],[42.818481,h],[43.747131,t],[44.279724, ],[44.784485,t],[49.242340,h],[51.049133,o],[52.602264,u],[54.621429,s],[55.316101,a],[57.649445,n],[60.740845,d],[62.698669,done]",2.205624856
4KWatchWrite,1,4,3,9.437942467,0,0.043478261,22,0,0,1,0,he is still on our team,he is still on nur team,"[0.000031,h],[0.930023,e],[1.438416, ],[3.009094,i],[5.018707,s],[5.824310, ],[7.036957,s],[7.576050,t],[9.295410,i],[10.736786,l],[11.948212,l],[12.557587, ],[13.777466,o],[15.686371,n],[16.262726, ],[17.730804,n],[19.724213,u],[22.233215,r],[22.872620, ],[23.797729,t],[24.795563,e],[25.403320,a],[27.972198,m],[29.539703,done]",0.829271276
4KWatchWrite,1,4,3,5.857819217,0.057142857,0,33,2,2,0,0,electric cars need big fuel cells,electric cars need big fuel cells,"[0.000031,e],[1.277222,l],[1.793915,e],[4.403748,c],[6.935120,t],[9.364075,r],[11.169098,i],[14.940582,c],[15.656067, ],[17.703156,c],[18.381561,a],[21.117188,r],[24.763580,s],[27.865387,n],[29.663391,del],[30.896271, ],[32.880035,n],[33.661163,e],[34.151520,e],[36.468018,d],[37.246796, ],[39.445831,b],[42.821869,i],[45.220428,g],[45.878784, ],[47.834351,f],[49.548523,u],[50.105438,e],[51.778473,l],[54.515839,h],[56.369476,del],[58.210693, ],[60.496399,c],[61.405853,e],[62.852692,l],[64.026917,l],[65.553406,s],[67.039764,done]",3.127683839
4KWatchWrite,1,4,3,7.519685957,0,0,23,0,0,0,0,this system of taxation,this system of taxation,"[0.000031,t],[2.251251,h],[3.775299,i],[5.193542,s],[6.322876, ],[7.498871,s],[10.012482,y],[11.879425,s],[12.759735,t],[13.411011,e],[15.559845,m],[16.370056, ],[18.732513,o],[20.982513,f],[21.852753, ],[23.058624,t],[24.003326,a],[27.999115,x],[29.165466,a],[30.184204,t],[31.882080,i],[33.337097,o],[35.107849,n],[36.557556,done]",0.844488062
