timestamp,posx,posy,action
1207253,253.0,0.0,0
1207253,253.0,0.0,0
1207265,256.0,0.0,2
1207265,256.0,0.0,2
1207290,277.0,0.0,2
1207290,277.0,0.0,2
1207316,279.0,6.0,2
1207316,279.0,6.0,2
1207328,282.0,5.0,2
1207328,282.0,5.0,2
1207353,279.0,8.0,2
1207353,279.0,8.0,2
1207378,276.0,8.0,2
1207378,276.0,8.0,2
1207390,281.0,11.0,2
1207390,281.0,11.0,2
1207415,275.0,56.0,2
1207415,275.0,56.0,2
1207428,286.0,111.0,2
1207428,286.0,111.0,2
1207440,300.0,181.0,2
1207440,300.0,181.0,2
1207452,300.0,181.0,1
1207452,300.0,181.0,1
4438511,1366.0,131.0,0
4438511,1366.0,131.0,0
4438536,1366.0,135.0,2
4438536,1366.0,135.0,2
4438560,1366.0,135.0,1
4438560,1366.0,135.0,1
4439390,15.0,41.0,0
4439390,15.0,41.0,0
4439402,16.0,46.0,2
4439402,16.0,46.0,2
4439415,17.0,52.0,2
4439415,17.0,52.0,2
4439465,19.0,57.0,2
4439465,19.0,57.0,2
4439490,40.0,58.0,2
4439490,40.0,58.0,2
4439502,20.0,58.0,2
4439502,20.0,58.0,2
4439527,17.0,59.0,2
4439527,17.0,59.0,2
4439601,17.0,59.0,1
4439601,17.0,59.0,1
4439777,13.0,108.0,0
4439777,13.0,108.0,0
4439802,9.0,107.0,2
4439802,9.0,107.0,2
4439814,12.0,108.0,2
4439814,12.0,108.0,2
4439839,11.0,107.0,2
4439839,11.0,107.0,2
4439851,11.0,104.0,2
4439851,11.0,104.0,2
4440001,11.0,104.0,1
4440001,11.0,104.0,1
4441283,10.0,115.0,0
4441283,10.0,115.0,0
4441807,10.0,115.0,2
4441807,10.0,115.0,2
4442082,9.0,112.0,2
4442082,9.0,112.0,2
4442157,12.0,113.0,2
4442157,12.0,113.0,2
4442231,9.0,113.0,2
4442231,9.0,113.0,2
4442306,12.0,112.0,2
4442306,12.0,112.0,2
4442618,19.0,111.0,2
4442618,19.0,111.0,2
4442643,24.0,108.0,2
4442643,24.0,108.0,2
4442668,29.0,107.0,2
4442668,29.0,107.0,2
4442693,34.0,108.0,2
4442693,34.0,108.0,2
4442706,56.0,107.0,2
4442706,56.0,107.0,2
4442718,68.0,107.0,2
4442718,68.0,107.0,2
4442731,60.0,106.0,2
4442731,60.0,106.0,2
4442781,58.0,106.0,2
4442781,58.0,106.0,2
4442818,63.0,107.0,2
4442818,63.0,107.0,2
4442880,86.0,99.0,2
4442880,86.0,99.0,2
4442905,98.0,95.0,2
4442905,98.0,95.0,2
4442930,99.0,92.0,2
4442930,99.0,92.0,2
4443018,97.0,95.0,2
4443018,97.0,95.0,2
4443030,93.0,95.0,2
4443030,93.0,95.0,2
4443067,101.0,97.0,2
4443067,101.0,97.0,2
4443093,92.0,97.0,2
4443093,92.0,97.0,2
4443118,94.0,98.0,2
4443118,94.0,98.0,2
4443130,97.0,98.0,2
4443130,97.0,98.0,2
4443242,100.0,97.0,2
4443242,100.0,97.0,2
4443255,97.0,97.0,2
4443255,97.0,97.0,2
4443280,100.0,98.0,2
4443280,100.0,98.0,2
4443292,97.0,97.0,2
4443292,97.0,97.0,2
4443392,99.0,97.0,2
4443392,99.0,97.0,2
4443504,96.0,97.0,2
4443504,96.0,97.0,2
4443542,99.0,97.0,2
4443542,99.0,97.0,2
4443679,103.0,97.0,2
4443679,103.0,97.0,2
4443779,97.0,98.0,2
4443779,97.0,98.0,2
4443791,103.0,98.0,2
4443791,103.0,98.0,2
4443829,97.0,98.0,2
4443829,97.0,98.0,2
4443853,100.0,99.0,2
4443853,100.0,99.0,2
4443878,97.0,98.0,2
4443878,97.0,98.0,2
4443903,104.0,98.0,2
4443903,104.0,98.0,2
4443941,99.0,99.0,2
4443941,99.0,99.0,2
4443978,97.0,99.0,2
4443978,97.0,99.0,2
4444016,100.0,100.0,2
4444016,100.0,100.0,2
4444103,103.0,101.0,2
4444103,103.0,101.0,2
4444240,100.0,101.0,2
4444240,100.0,101.0,2
4444739,104.0,102.0,2
4444739,104.0,102.0,2
4444851,108.0,102.0,2
4444851,108.0,102.0,2
4444914,108.0,102.0,2
4444914,108.0,102.0,2
4444989,111.0,103.0,2
4444989,111.0,103.0,2
4445039,107.0,102.0,2
4445039,107.0,102.0,2
4445051,111.0,103.0,2
4445051,111.0,103.0,2
4445114,108.0,103.0,2
4445114,108.0,103.0,2
4445151,111.0,102.0,2
4445151,111.0,102.0,2
4445176,108.0,102.0,2
4445176,108.0,102.0,2
4445201,111.0,102.0,2
4445201,111.0,102.0,2
4445276,114.0,102.0,2
4445276,114.0,102.0,2
4445288,117.0,103.0,2
4445288,117.0,103.0,2
4445350,120.0,104.0,2
4445350,120.0,104.0,2
4445438,129.0,102.0,2
4445438,129.0,102.0,2
4445463,149.0,102.0,2
4445463,149.0,102.0,2
4445475,174.0,100.0,2
4445475,174.0,100.0,2
4445500,189.0,97.0,2
4445500,189.0,97.0,2
4445513,203.0,95.0,2
4445513,203.0,95.0,2
4445538,210.0,91.0,2
4445538,210.0,91.0,2
4445550,217.0,89.0,2
4445550,217.0,89.0,2
4445563,226.0,88.0,2
4445563,226.0,88.0,2
4445588,267.0,84.0,2
4445588,267.0,84.0,2
4445613,293.0,85.0,2
4445613,293.0,85.0,2
4445625,302.0,83.0,2
4445625,302.0,83.0,2
4445638,306.0,81.0,2
4445638,306.0,81.0,2
4445663,334.0,77.0,2
4445663,334.0,77.0,2
4445713,407.0,68.0,2
4445713,407.0,68.0,2
4445737,425.0,65.0,2
4445737,425.0,65.0,2
4445762,455.0,63.0,2
4445762,455.0,63.0,2
4445787,481.0,60.0,2
4445787,481.0,60.0,2
4445800,496.0,59.0,2
4445800,496.0,59.0,2
4445825,507.0,58.0,2
4445825,507.0,58.0,2
4445850,520.0,58.0,2
4445850,520.0,58.0,2
4445862,523.0,59.0,2
4445862,523.0,59.0,2
4445887,539.0,58.0,2
4445887,539.0,58.0,2
4445912,558.0,59.0,2
4445912,558.0,59.0,2
4445925,567.0,60.0,2
4445925,567.0,60.0,2
4445950,583.0,60.0,2
4445950,583.0,60.0,2
4445987,601.0,63.0,2
4445987,601.0,63.0,2
4445999,604.0,65.0,2
4445999,604.0,65.0,2
4446025,617.0,67.0,2
4446025,617.0,67.0,2
4446037,623.0,69.0,2
4446037,623.0,69.0,2
4446074,642.0,71.0,2
4446074,642.0,71.0,2
4446162,639.0,72.0,2
4446162,639.0,72.0,2
4446187,636.0,73.0,2
4446187,636.0,73.0,2
4446199,633.0,74.0,2
4446199,633.0,74.0,2
4446237,630.0,73.0,2
4446237,630.0,73.0,2
4446249,627.0,72.0,2
4446249,627.0,72.0,2
4446274,623.0,72.0,2
4446274,623.0,72.0,2
4446299,620.0,73.0,2
