timestamp,posx,posy,action
1698449,37.0,42.0,0
1698981,76.937225,34.17713,2
1699003,102.58368,30.836914,2
1699025,118.74614,27.83419,2
1699048,134.9428,26.588104,2
1699070,147.34499,25.0,2
1699092,156.38934,23.76844,2
1699114,162.0291,24.0,2
1699136,167.18971,24.0,2
1699159,170.28476,22.85762,2
1699181,172.9727,23.0,2
1699203,173.83934,23.0,2
1699225,176.36685,23.0,2
1699289,177.0,23.0,2
1699313,178.49838,23.0,2
1699559,169.91159,43.0884,2
1699581,173.62225,60.73355,2
1699603,175.04793,76.62306,2
1699625,179.19948,92.7979,2
1699648,179.7531,110.037094,2
1699670,180.0,122.85573,2
1699692,180.0,132.0879,2
1699714,181.78676,140.72055,2
1699736,184.2705,147.67624,2
1699756,185.5,153.0,2
1699781,185.83232,156.49695,2
1699803,186.0,158.16287,2
1699825,186.0,159.48456,2
1699841,186.0,160.49182,2
1699866,187.0,161.0,2
1699899,187.0,162.0,2
1700147,189.0,162.0,2
1700170,189.0,162.0,1
1701102,107.0,103.0,0
1706772,107.0,103.0,1
1770724,39.0,44.0,0
1776152,50.178856,60.0,2
1776174,53.88556,62.590378,2
1776196,60.014122,68.3451,2
1776219,69.115234,75.082306,2
1776241,77.1593,83.1593,2
1776263,87.11165,94.40048,2
1776285,95.24365,106.43857,2
1776308,103.3396,114.3396,2
1776330,107.10202,119.10202,2
1776352,112.37044,123.27783,2
1776374,114.877686,127.31653,2
1776396,115.78946,128.78946,2
1776419,117.13493,130.13493,2
1776449,117.0,131.0,2
1776574,121.13426,131.0,2
1776589,122.979965,131.0,2
1776604,122.979965,131.0,1
1778227,10.0,30.0,0
1778662,30.5,30.0,2
1778685,31.680061,35.88022,2
1778707,37.395325,42.395325,2
1778728,43.16298,46.730385,2
1778751,48.408485,54.290176,2
1778773,58.80258,61.126617,2
1778794,67.43622,68.94533,2
1778818,78.359314,75.519485,2
1778840,85.31053,82.31053,2
1778862,92.41356,86.73085,2
1778885,100.736145,91.84923,2
1778907,114.06003,98.530014,2
1778929,117.28415,105.94098,2
1778951,121.992905,112.988174,2
1778973,126.035675,121.071365,2
1778996,128.68735,125.06204,2
1779018,133.11714,129.08786,2
1779040,137.5,133.5,2
1779062,141.47063,136.20595,2
1779084,145.20302,139.13535,2
1779107,147.8221,141.8221,2
1779129,150.52858,146.29286,2
1779151,155.40625,149.20313,2
1779173,156.45538,153.36617,2
1779195,159.79027,156.79027,2
1779218,162.2623,160.39346,2
1779240,164.96735,162.96735,2
1779262,164.0,164.83708,2
1779284,166.3741,167.3741,2
1779329,166.87215,168.87215,2
1779351,167.0,170.21329,2
1779370,167.0,171.5,2
1779397,168.0,171.0,2
1779463,168.0,172.0,2
1779595,169.0,172.0,2
1780429,169.0,172.0,1
1785197,162.0,39.0,0
1786382,162.0,55.0,2
1786413,162.0,59.68106,2
1786435,154.48842,62.50386,2
1786456,156.0,67.93822,2
1786480,156.0,73.70833,2
1786502,156.0,78.29097,2
1786522,156.0,81.31291,2
1786546,156.0,86.88684,2
1786569,156.0,89.6288,2
1786588,156.0,91.98184,2
1786613,156.0,93.0,2
1786635,156.0,95.69495,2
1786654,156.0,96.48456,2
1786679,156.0,97.0,2
1786826,156.0,98.0,2
1786960,156.0,89.0,2
1786991,159.92635,79.11047,2
1787013,160.0,71.72793,2
1787034,161.48456,65.577225,2
1787057,161.0,61.218445,2
1787079,161.0,59.72847,2
1787099,161.0,58.510017,2
1787124,161.96553,56.03447,2
1787132,162.48456,55.51544,2
1787223,162.0,55.0,2
1787724,162.0,67.28302,2
1787746,162.0,69.92125,2
1787768,162.0,73.936615,2
1787790,162.0,79.34453,2
1787812,162.0,86.036026,2
1787835,162.0,92.09685,2
1787857,162.0,97.47667,2
1787879,162.0,104.57196,2
1787901,162.0,111.29338,2
1787923,162.0,116.62596,2
1787946,162.74771,123.73859,2
1787968,163.0,128.27812,2
